review_id,product_category,product_name,review_text,rating,review_date,verified_purchase,helpful_votes
REV00504,Fashion,Cotton T-Shirt,"Five stars, no doubt. Setup was simple and took less than five minutes. ✨",5.0,2024-05-05,True,5
REV01117,Sports & Outdoors,Resistance Bands,Exceeded my expectations. The color and finish look great in person. ❤️,5.0,2025-05-15,True,5
REV01150,Sports & Outdoors,Camping Tent,I want a refund immediately. It doesn't match the pictures shown online at all.,2.0,2024-12-21,True,1
REV01280,Home & Kitchen,Vacuum Cleaner,<br>I want a refund immediately. The material feels cheap and flimsy. www.shopreview-site.com/r/12345,1.0,2024-03-31,True,2
REV00467,Books & Media,Fiction Novel,</p>I'm so impressed with the quality. The color and finish look great in person.,5.0,2024-11-04,True,2
REV01519,Beauty & Personal Care,Lip Balm Set,Best purchase I've made this year. Battery life lasts way longer than advertised.,4.0,2024-02-10,True,11
REV00954,Fashion,Cotton T-Shirt,"Five stars, no doubt. The color and finish look great in person. ❤️ http://example-shop.com/review",5.0,2025-03-07,True,1
REV01436,Sports & Outdoors,Camping Tent,<br>Works like a charm. It's comfortable and fits perfectly.,5.0,2025-05-21,False,8
REV00457,Books & Media,Kids Story Set,This is exactly what I needed. Battery life lasts way longer than advertised.,4.0,2025-01-28,False,1
REV00210,Fashion,Leather Wallet,Works like a charm. Customer service was quick to respond when I had a question. ✨,5.0,2024-01-10,True,4
REV00904,Sports & Outdoors,Water Bottle,Couldn't  be happier with this purchase. It's comfortable and fits perfectly. 🔥,5.0,2024-08-03,True,0
REV00013,Sports & Outdoors,Dumbbell Set,Best purchase I've made this year. My family loves it just as much as I do. ✨,4.0,2025-12-07,True,4
REV00853,Beauty & Personal Care,Face Serum,Best purchase I've made this year. The color and finish look great in person. ❤️,4.0,2024-02-24,True,0
REV00471,Home & Kitchen,Blender,"<br>It's an okay product, nothing special. Some features could be improved in future versions. 🙂",3.0,2024-09-14,True,2
REV01010,Books & Media,Self-Help Book,Extremely poor quality. The instructions were confusing and unclear. 👎,1.0,2025-07-13,True,3
REV00534,Electronics,Power Bank,"Not bad, but not great either. I might consider other brands next time.",3.0,2025-03-14,True,0
REV00431,Home & Kitchen,Air Fryer,Exceeded my expectations. Setup was simple and took less than five minutes. ❤️,5.0,2024-05-17,True,1
REV00863,Beauty & Personal Care,Face Serum,Fantastic value for the price. The packaging was neat and nothing was damaged. 🔥,5.0,2025-12-15,True,0
REV00837,Fashion,Running Shoes,"Works  like a charm. Delivery was super fast, arrived a day early. ❤️",5.0,2025-12-09,True,4
REV01638,Fashion,Sunglasses,Highly  recommend this to everyone. Customer service was quick to respond when I had a question.,5.0,2025-05-15,True,5
REV01461,Sports & Outdoors,Water Bottle,Absolutely loved this product! Battery life lasts way longer than advertised. ✨,4.0,2025-08-04,True,3
REV01622,Home & Kitchen,Vacuum Cleaner,"Highly recommend this to everyone. Delivery was super fast, arrived a day early. ✨",4.0,2025-04-14,True,3
REV00794,Home & Kitchen,Blender,Fantastic value for the price. It looks even better than the pictures online.,5.0,2024-08-06,True,1
REV00829,Fashion,Sunglasses,"Fantastic value for the price. Delivery was super fast, arrived a day early. 👍",4.0,2025-11-15,True,1
REV00182,Beauty & Personal Care,Hair Dryer,"Five stars, no doubt. Customer service was quick to respond when I had a question. 👍",4.0,2024-02-04,False,2
REV00072,Books & Media,Biography,This is exactly what I needed. The packaging was neat and nothing was damaged.,4.0,2024-12-05,False,1
REV01369,Home & Kitchen,Non-Stick Pan Set,Works like a charm. It's comfortable and fits perfectly. 👍,5.0,2025-07-07,True,2
REV01187,Books & Media,Cookbook,This is exactly what I needed. The color and finish look great in person. ✨,5.0,2024-06-02,True,1
REV01758,Beauty & Personal Care,Electric Trimmer,Highly recommend this to everyone. The build quality feels premium and sturdy. 👍,5.0,2024-08-12,True,8
REV00748,Fashion,Denim Jacket,Exceeded  my expectations. Customer service was quick to respond when I had a question. 🔥 but the delivery experience could definitely be better.,4.0,2025-02-21,True,3
REV01382,Books & Media,Self-Help Book,Fantastic value for the price. Customer service was quick to respond when I had a question.,5.0,2024-08-07,True,1
REV00317,Fashion,Backpack,   ,4.0,2025-12-27,False,2
REV00823,Sports & Outdoors,Resistance Bands,Not  worth the money at all. The stitching came apart almost immediately. 💔,1.0,2024-02-17,False,4
REV01075,Home & Kitchen,Non-Stick Pan Set,FANTASTIC  VALUE FOR THE PRICE. IT LOOKS EVEN BETTER THAN THE PICTURES ONLINE. ❤️,4.0,2025-09-16,True,5
REV00520,Electronics,Bluetooth Speaker,Very frustrating experience overall. The size was completely different from what was described. 💔 http://example-shop.com/review,1.0,2025-10-13,True,1
REV00187,Sports & Outdoors,Cycling Helmet,"Really disappointed with this purchase. The material feels cheap and flimsy. 👎 On the plus side, it did arrive quickly.",2.0,2025-06-24,False,3
REV01388,Fashion,Running Shoes,Best purchase I've made this year. My family loves it just as much as I do. 😊,4.0,2025-09-05,True,1
REV01464,Electronics,USB-C Hub,Couldn't be happier with this purchase. It looks even better than the pictures online. 👍 although the price is a bit high for what you get.,5.0,2025-10-08,True,12
REV01022,Fashion,Running Shoes,Fantastic value for the price. The color and finish look great in person. ❤️,4.0,2024-09-18,True,0
REV00294,Electronics,Laptop Stand,<br>I want a refund immediately. It stopped working after just one week. 💔,1.0,2024-04-02,True,0
REV01640,Beauty & Personal Care,Hair Dryer,"Five stars, no doubt. It looks even better than the pictures online. ❤️",4.0,2025-04-17,True,4
REV01637,Beauty & Personal Care,Moisturizer Cream,Best purchase I've made this year. The packaging was neat and nothing was damaged. ❤️,5.0,2025-07-21,True,2
REV00662,Books & Media,Self-Help Book,Fantastic value for the price. Battery life lasts way longer than advertised. ❤️,5.0,2025-08-24,True,0
REV00955,Home & Kitchen,Blender,This is exactly what I needed. The color and finish look great in person. 😊,4.0,2025-08-04,True,0
REV00483,Books & Media,Comic Collection,Average  quality for the price. Some features could be improved in future versions. 🙂,3.0,2025-08-28,True,1
REV00566,Electronics,Power Bank,&amp;I'm so impressed with the quality. Setup was simple and took less than five minutes.,5.0,2025-08-03,True,2
REV01181,Beauty & Personal Care,Face Serum,Not worth the money at all. It stopped working after just one week. 😢,1.0,2024-07-22,True,1
REV01465,Sports & Outdoors,Dumbbell Set,This is exactly what I needed. The build quality feels premium and sturdy. ❤️ https://bit.ly/3xample,5.0,2025-04-17,True,1
REV00371,Sports & Outdoors,Cycling Helmet,"Exceeded my expectations. Delivery was super fast, arrived a day early. 👍",4.0,2025-03-31,True,1
REV01177,Sports & Outdoors,Water Bottle,I'm so impressed with the quality. Battery life lasts way longer than advertised. ❤️,4.0,2025-02-25,True,6
REV01769,Beauty & Personal Care,Moisturizer Cream,"It's  fine, meets basic expectations. Shipping took the standard amount of time. 🤷   ",3.0,2024-07-05,True,1
REV01719,Fashion,Cotton T-Shirt,"Middle  of the road experience. Packaging was standard, nothing memorable.",3.0,2025-08-23,False,2
REV00684,Home & Kitchen,Air Fryer,I'm so impressed with the quality. Battery life lasts way longer than advertised. ❤️,5.0,2024-08-15,True,7
REV00034,Beauty & Personal Care,Electric Trimmer,One of the worst products I've bought online. The size was completely different from what was described.,2.0,2024-11-04,True,4
REV00588,Sports & Outdoors,Camping Tent,This is exactly what I needed. Setup was simple and took less than five minutes. 😊 although the price is a bit high for what you get.   ,5.0,2025-05-07,True,2
REV00293,Sports & Outdoors,Yoga Mat,"Highly recommend this to everyone. Delivery was super fast, arrived a day early. 😊",5.0,2025-02-23,True,0
REV00712,Fashion,Sunglasses,This was a complete waste of time. Customer support never replied to my emails. 😡,1.0,2025-05-04,True,0
REV00958,Fashion,Cotton T-Shirt,Exceeded my expectations. My family loves it just as much as I do. ✨,4.0,2024-04-08,True,3
REV01040,Beauty & Personal Care,Moisturizer Cream,"</p>Five stars, no doubt. Customer service was quick to respond when I had a question.",5.0,2025-08-31,False,4
REV01363,Books & Media,Self-Help Book,Highly recommend this to everyone. The color and finish look great in person. 😊 although the price is a bit high for what you get.,4.0,2025-07-20,True,1
REV01223,Sports & Outdoors,Camping Tent,i'm so impressed with the quality. my family loves it just as much as i do. but the delivery experience could definitely be better.,4.0,2025-05-24,True,1
