review_id,product_category,product_name,review_text,rating,review_date,verified_purchase,helpful_votes,clean_tokens,vader_compound,vader_pos,vader_neu,vader_neg,sentiment_label,dominant_emotion
REV00504,Fashion,Cotton T-Shirt,"Five stars, no doubt. Setup was simple and took less than five minutes. ✨",5,2024-05-05,True,5,five star doubt setup simple took less five minute,0.5283,0.269,0.731,0.0,Positive,Trust
REV01117,Sports & Outdoors,Resistance Bands,Exceeded my expectations. The color and finish look great in person. ❤️,5,2025-05-15,True,5,exceeded expectation color finish look great person,0.6249,0.255,0.745,0.0,Positive,Anticipation
REV01150,Sports & Outdoors,Camping Tent,I want a refund immediately. It doesn't match the pictures shown online at all.,2,2024-12-21,True,1,want refund immediately doesnt match picture shown online,0.0772,0.091,0.909,0.0,Positive,Anticipation
REV01280,Home & Kitchen,Vacuum Cleaner,I want a refund immediately. The material feels cheap and flimsy.,1,2024-03-31,True,2,want refund immediately material feel cheap flimsy,0.0772,0.115,0.885,0.0,Positive,Anticipation
REV00467,Books & Media,Fiction Novel,I'm so impressed with the quality. The color and finish look great in person.,5,2024-11-04,True,2,impressed quality color finish look great person,0.8173,0.384,0.616,0.0,Positive,None Detected
REV01519,Beauty & Personal Care,Lip Balm Set,Best purchase I've made this year. Battery life lasts way longer than advertised.,4,2024-02-10,True,11,best purchase ive made year battery life last way longer advertised,0.6369,0.259,0.741,0.0,Positive,None Detected
REV00954,Fashion,Cotton T-Shirt,"Five stars, no doubt. The color and finish look great in person. ❤️",5,2025-03-07,True,1,five star doubt color finish look great person,0.7359,0.341,0.659,0.0,Positive,Trust
REV01436,Sports & Outdoors,Camping Tent,Works like a charm. It's comfortable and fits perfectly.,5,2025-05-21,False,8,work like charm comfortable fit perfectly,0.9136,0.718,0.282,0.0,Positive,None Detected
REV00457,Books & Media,Kids Story Set,This is exactly what I needed. Battery life lasts way longer than advertised.,4,2025-01-28,False,1,exactly needed battery life last way longer advertised,0.0,0.0,1.0,0.0,Neutral,None Detected
REV00210,Fashion,Leather Wallet,Works like a charm. Customer service was quick to respond when I had a question. ✨,5,2024-01-10,True,4,work like charm customer service quick respond question,0.7579,0.366,0.634,0.0,Positive,None Detected
REV00904,Sports & Outdoors,Water Bottle,Couldn't be happier with this purchase. It's comfortable and fits perfectly. 🔥,5,2024-08-03,True,0,couldnt happier purchase comfortable fit perfectly,0.5145,0.363,0.387,0.25,Positive,None Detected
REV00013,Sports & Outdoors,Dumbbell Set,Best purchase I've made this year. My family loves it just as much as I do. ✨,4,2025-12-07,True,4,best purchase ive made year family love much,0.8807,0.421,0.579,0.0,Positive,Joy
REV00853,Beauty & Personal Care,Face Serum,Best purchase I've made this year. The color and finish look great in person. ❤️,4,2024-02-24,True,0,best purchase ive made year color finish look great person,0.8519,0.372,0.628,0.0,Positive,None Detected
REV00471,Home & Kitchen,Blender,"It's an okay product, nothing special. Some features could be improved in future versions. 🙂",3,2024-09-14,True,2,okay product nothing special feature could improved future version,0.665,0.336,0.566,0.098,Positive,Joy
REV01010,Books & Media,Self-Help Book,Extremely poor quality. The instructions were confusing and unclear. 👎,1,2025-07-13,True,3,extremely poor quality instruction confusing unclear,-0.7425,0.0,0.523,0.477,Negative,Trust
REV00534,Electronics,Power Bank,"Not bad, but not great either. I might consider other brands next time.",3,2025-03-14,True,0,not bad not great either might consider brand next time,-0.5448,0.111,0.633,0.256,Negative,Anger
REV00431,Home & Kitchen,Air Fryer,Exceeded my expectations. Setup was simple and took less than five minutes. ❤️,5,2024-05-17,True,1,exceeded expectation setup simple took less five minute,0.0,0.0,1.0,0.0,Neutral,Anticipation
REV00863,Beauty & Personal Care,Face Serum,Fantastic value for the price. The packaging was neat and nothing was damaged. 🔥,5,2025-12-15,True,0,fantastic value price packaging neat nothing damaged,0.9089,0.599,0.401,0.0,Positive,None Detected
REV00837,Fashion,Running Shoes,"Works like a charm. Delivery was super fast, arrived a day early. ❤️",5,2025-12-09,True,4,work like charm delivery super fast arrived day early,0.8442,0.453,0.547,0.0,Positive,None Detected
REV01638,Fashion,Sunglasses,Highly recommend this to everyone. Customer service was quick to respond when I had a question.,5,2025-05-15,True,5,highly recommend everyone customer service quick respond question,0.4201,0.157,0.843,0.0,Positive,Trust
REV01461,Sports & Outdoors,Water Bottle,Absolutely loved this product! Battery life lasts way longer than advertised. ✨,4,2025-08-04,True,3,absolutely loved product battery life last way longer advertised,0.7773,0.404,0.596,0.0,Positive,None Detected
REV01622,Home & Kitchen,Vacuum Cleaner,"Highly recommend this to everyone. Delivery was super fast, arrived a day early. ✨",4,2025-04-14,True,3,highly recommend everyone delivery super fast arrived day early,0.8399,0.45,0.55,0.0,Positive,Trust
REV00794,Home & Kitchen,Blender,Fantastic value for the price. It looks even better than the pictures online.,5,2024-08-06,True,1,fantastic value price look even better picture online,0.836,0.471,0.529,0.0,Positive,None Detected
REV00829,Fashion,Sunglasses,"Fantastic value for the price. Delivery was super fast, arrived a day early. 👍",4,2025-11-15,True,1,fantastic value price delivery super fast arrived day early,0.872,0.452,0.548,0.0,Positive,None Detected
REV00182,Beauty & Personal Care,Hair Dryer,"Five stars, no doubt. Customer service was quick to respond when I had a question. 👍",4,2024-02-04,False,2,five star doubt customer service quick respond question,0.2755,0.117,0.883,0.0,Positive,Trust
REV00072,Books & Media,Biography,This is exactly what I needed. The packaging was neat and nothing was damaged.,4,2024-12-05,False,1,exactly needed packaging neat nothing damaged,0.6604,0.311,0.689,0.0,Positive,None Detected
REV01369,Home & Kitchen,Non-Stick Pan Set,Works like a charm. It's comfortable and fits perfectly. 👍,5,2025-07-07,True,2,work like charm comfortable fit perfectly,0.9136,0.645,0.355,0.0,Positive,None Detected
REV01187,Books & Media,Cookbook,This is exactly what I needed. The color and finish look great in person. ✨,5,2024-06-02,True,1,exactly needed color finish look great person,0.7506,0.33,0.67,0.0,Positive,None Detected
REV01758,Beauty & Personal Care,Electric Trimmer,Highly recommend this to everyone. The build quality feels premium and sturdy. 👍,5,2024-08-12,True,8,highly recommend everyone build quality feel premium sturdy,0.4201,0.177,0.823,0.0,Positive,Trust
REV00748,Fashion,Denim Jacket,Exceeded my expectations. Customer service was quick to respond when I had a question. 🔥 but the delivery experience could definitely be better.,4,2025-02-21,True,3,exceeded expectation customer service quick respond question delivery experience could definitely better,0.7717,0.254,0.687,0.058,Positive,Anticipation
REV01382,Books & Media,Self-Help Book,Fantastic value for the price. Customer service was quick to respond when I had a question.,5,2024-08-07,True,1,fantastic value price customer service quick respond question,0.7184,0.3,0.7,0.0,Positive,None Detected
REV00823,Sports & Outdoors,Resistance Bands,Not worth the money at all. The stitching came apart almost immediately. 💔,1,2024-02-17,False,4,not worth money stitching came apart almost immediately,0.1151,0.203,0.566,0.231,Positive,Anticipation
REV01075,Home & Kitchen,Non-Stick Pan Set,FANTASTIC VALUE FOR THE PRICE. IT LOOKS EVEN BETTER THAN THE PICTURES ONLINE. ❤️,4,2025-09-16,True,5,fantastic value price look even better picture online,0.9022,0.48,0.52,0.0,Positive,None Detected
REV00520,Electronics,Bluetooth Speaker,Very frustrating experience overall. The size was completely different from what was described. 💔,1,2025-10-13,True,1,frustrating experience overall size completely different described,-0.2716,0.187,0.533,0.28,Negative,None Detected
REV00187,Sports & Outdoors,Cycling Helmet,"Really disappointed with this purchase. The material feels cheap and flimsy. 👎 On the plus side, it did arrive quickly.",2,2025-06-24,False,3,really disappointed purchase material feel cheap flimsy plus side arrive quickly,-0.5256,0.0,0.855,0.145,Negative,Anger
REV01388,Fashion,Running Shoes,Best purchase I've made this year. My family loves it just as much as I do. 😊,4,2025-09-05,True,1,best purchase ive made year family love much,0.9313,0.45,0.55,0.0,Positive,Joy
REV01464,Electronics,USB-C Hub,Couldn't be happier with this purchase. It looks even better than the pictures online. 👍 although the price is a bit high for what you get.,5,2025-10-08,True,12,couldnt happier purchase look even better picture online although price bit high get,0.032,0.095,0.815,0.09,Neutral,None Detected
REV01022,Fashion,Running Shoes,Fantastic value for the price. The color and finish look great in person. ❤️,4,2024-09-18,True,0,fantastic value price color finish look great person,0.8779,0.457,0.543,0.0,Positive,None Detected
REV00294,Electronics,Laptop Stand,I want a refund immediately. It stopped working after just one week. 💔,1,2024-04-02,True,0,want refund immediately stopped working one week,0.128,0.268,0.488,0.244,Positive,Anticipation
REV01640,Beauty & Personal Care,Hair Dryer,"Five stars, no doubt. It looks even better than the pictures online. ❤️",4,2025-04-17,True,4,five star doubt look even better picture online,0.6136,0.295,0.705,0.0,Positive,Trust
REV01637,Beauty & Personal Care,Moisturizer Cream,Best purchase I've made this year. The packaging was neat and nothing was damaged. ❤️,5,2025-07-21,True,2,best purchase ive made year packaging neat nothing damaged,0.8627,0.425,0.575,0.0,Positive,None Detected
REV00662,Books & Media,Self-Help Book,Fantastic value for the price. Battery life lasts way longer than advertised. ❤️,5,2025-08-24,True,0,fantastic value price battery life last way longer advertised,0.7184,0.333,0.667,0.0,Positive,None Detected
REV00955,Home & Kitchen,Blender,This is exactly what I needed. The color and finish look great in person. 😊,4,2025-08-04,True,0,exactly needed color finish look great person,0.8779,0.387,0.613,0.0,Positive,None Detected
REV00483,Books & Media,Comic Collection,Average quality for the price. Some features could be improved in future versions. 🙂,3,2025-08-28,True,1,average quality price feature could improved future version,0.701,0.293,0.707,0.0,Positive,None Detected
REV00566,Electronics,Power Bank,I'm so impressed with the quality. Setup was simple and took less than five minutes.,5,2025-08-03,True,2,impressed quality setup simple took less five minute,0.5256,0.195,0.805,0.0,Positive,None Detected
REV01181,Beauty & Personal Care,Face Serum,Not worth the money at all. It stopped working after just one week. 😢,1,2024-07-22,True,1,not worth money stopped working one week,-0.6874,0.0,0.643,0.357,Negative,Anger
REV01465,Sports & Outdoors,Dumbbell Set,This is exactly what I needed. The build quality feels premium and sturdy. ❤️,5,2025-04-17,True,1,exactly needed build quality feel premium sturdy,0.0,0.0,1.0,0.0,Neutral,None Detected
REV00371,Sports & Outdoors,Cycling Helmet,"Exceeded my expectations. Delivery was super fast, arrived a day early. 👍",4,2025-03-31,True,1,exceeded expectation delivery super fast arrived day early,0.5994,0.245,0.755,0.0,Positive,Anticipation
REV01177,Sports & Outdoors,Water Bottle,I'm so impressed with the quality. Battery life lasts way longer than advertised. ❤️,4,2025-02-25,True,6,impressed quality battery life last way longer advertised,0.5256,0.195,0.805,0.0,Positive,None Detected
REV01769,Beauty & Personal Care,Moisturizer Cream,"It's fine, meets basic expectations. Shipping took the standard amount of time. 🤷",3,2024-07-05,True,1,fine meet basic expectation shipping took standard amount time,0.2023,0.122,0.878,0.0,Positive,Anticipation
REV01719,Fashion,Cotton T-Shirt,"Middle of the road experience. Packaging was standard, nothing memorable.",3,2025-08-23,False,2,middle road experience packaging standard nothing memorable,0.0,0.0,1.0,0.0,Neutral,Joy
REV00684,Home & Kitchen,Air Fryer,I'm so impressed with the quality. Battery life lasts way longer than advertised. ❤️,5,2024-08-15,True,7,impressed quality battery life last way longer advertised,0.5256,0.195,0.805,0.0,Positive,None Detected
REV00034,Beauty & Personal Care,Electric Trimmer,One of the worst products I've bought online. The size was completely different from what was described.,2,2024-11-04,True,4,one worst product ive bought online size completely different described,-0.6249,0.0,0.796,0.204,Negative,None Detected
REV00588,Sports & Outdoors,Camping Tent,This is exactly what I needed. Setup was simple and took less than five minutes. 😊 although the price is a bit high for what you get.,5,2025-05-07,True,2,exactly needed setup simple took less five minute although price bit high get,0.7184,0.171,0.829,0.0,Positive,None Detected
REV00293,Sports & Outdoors,Yoga Mat,"Highly recommend this to everyone. Delivery was super fast, arrived a day early. 😊",5,2025-02-23,True,0,highly recommend everyone delivery super fast arrived day early,0.9134,0.476,0.524,0.0,Positive,Trust
REV00712,Fashion,Sunglasses,This was a complete waste of time. Customer support never replied to my emails. 😡,1,2025-05-04,True,0,complete waste time customer support never replied email,-0.0258,0.138,0.718,0.144,Neutral,Disgust
REV00958,Fashion,Cotton T-Shirt,Exceeded my expectations. My family loves it just as much as I do. ✨,4,2024-04-08,True,3,exceeded expectation family love much,0.7184,0.333,0.667,0.0,Positive,Anticipation
REV01040,Beauty & Personal Care,Moisturizer Cream,"Five stars, no doubt. Customer service was quick to respond when I had a question.",5,2025-08-31,False,4,five star doubt customer service quick respond question,0.2755,0.131,0.869,0.0,Positive,Trust
REV01363,Books & Media,Self-Help Book,Highly recommend this to everyone. The color and finish look great in person. 😊 although the price is a bit high for what you get.,4,2025-07-20,True,1,highly recommend everyone color finish look great person although price bit high get,0.9168,0.34,0.66,0.0,Positive,Trust
REV01223,Sports & Outdoors,Camping Tent,i'm so impressed with the quality. my family loves it just as much as i do. but the delivery experience could definitely be better.,4,2025-05-24,True,1,impressed quality family love much delivery experience could definitely better,0.8989,0.374,0.626,0.0,Positive,Joy
REV01772,Electronics,Smartwatch,really disappointed with this purchase. the stitching came apart almost immediately. 💔,2,2024-10-02,True,1,really disappointed purchase stitching came apart almost immediately,-0.3134,0.195,0.496,0.308,Negative,Anger
REV00778,Fashion,Leather Wallet,"Average quality for the price. It does what it says, just don't expect much extra.",3,2024-01-14,True,0,average quality price say dont expect much extra,0.0,0.0,1.0,0.0,Neutral,Anticipation
REV00967,Home & Kitchen,Electric Kettle,This is exactly what I needed. The build quality feels premium and sturdy. 🔥,4,2024-09-11,True,2,exactly needed build quality feel premium sturdy,-0.34,0.0,0.844,0.156,Negative,None Detected
REV01237,Home & Kitchen,Bedsheet Set,Absolutely loved this product! The color and finish look great in person. 😊,5,2025-10-08,True,3,absolutely loved product color finish look great person,0.9391,0.529,0.471,0.0,Positive,None Detected
REV01446,Books & Media,Self-Help Book,"Works like a charm. Delivery was super fast, arrived a day early.",4,2024-06-25,True,3,work like charm delivery super fast arrived day early,0.8442,0.503,0.497,0.0,Positive,None Detected
REV00195,Books & Media,Biography,Best purchase I've made this year. Customer service was quick to respond when I had a question. ❤️,5,2024-03-19,True,4,best purchase ive made year customer service quick respond question,0.6369,0.189,0.811,0.0,Positive,None Detected
REV00932,Fashion,Denim Jacket,"Does the job but nothing extraordinary. It does what it says, just don't expect much extra. 🤷",3,2025-07-26,False,2,job nothing extraordinary say dont expect much extra,0.0,0.0,1.0,0.0,Neutral,Anticipation
REV00116,Beauty & Personal Care,Hair Dryer,Best purchase I've made this year. Customer service was quick to respond when I had a question.,5,2024-08-31,False,2,best purchase ive made year customer service quick respond question,0.6369,0.208,0.792,0.0,Positive,None Detected
REV01052,Electronics,Bluetooth Speaker,I want a refund immediately. The size was completely different from what was described. 👎,2,2024-06-25,False,3,want refund immediately size completely different described,0.0772,0.08,0.92,0.0,Positive,Anticipation
